,Address,Beds_Min,Beds_Max,Baths_Min,Baths_Max,Sqft_Min,Sqft_Max,Lat,Lon,Distance,Rent,Rent_max,Neighborhood,City,Walk Score,Transit Score,Bike Score,Population
69,1138 E 14th Ave Apt 10,1,1,1.0,1.0,N/A,N/A,39.738149,-104.973327,1.6017117923404214,1595,1595,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
70,1274 N Ogden St Apt 110,2,2,1.0,1.0,N/A,N/A,39.736527,-104.975111,1.6018209988473853,1575,1575,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
71,1274 N Ogden St Apt 108,1,1,1.0,1.0,N/A,N/A,39.736527,-104.975111,1.6018209988473853,1340,1340,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
72,1274 N Ogden St Apt 117,1,1,1.0,1.0,N/A,N/A,39.736527,-104.975111,1.6018209988473853,1370,1370,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
73,1274 N Ogden St Apt 118,1,1,1.0,1.0,N/A,N/A,39.736527,-104.975111,1.6018209988473853,1370,1370,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
74,1066 N Clarkson St Apt 8,0,0,1.0,1.0,N/A,N/A,39.733248,-104.977461,1.6044392748660175,975,975,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
75,1066 N Clarkson St Apt 5,0,0,1.0,1.0,N/A,N/A,39.733248,-104.977461,1.6044392748660175,975,975,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
76,2900 E 16th Ave,0,3,1.0,2.0,566,1481,39.741465,-104.952946,1.6062606218775994,1525,3805,Colfax Avenue Park,,,,,
77,1045 N Clarkson St Apt 306,2,2,2.0,2.0,N/A,N/A,39.732872,-104.977905,1.625725076672969,2495,2495,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
78,55 N Cook St,0,2,1.0,2.0,578,1348,39.716831,-104.947737,1.6294201559303045,1655,2988,Cherry Creek,Cherry Creek,80.0,49.0,79.0,5583.0
79,899 N Washington St,1,1,1.0,1.0,475,700,39.730173,-104.979091,1.6535463476030505,1325,1380,Emerys Capitol Hill,,,,,
80,1607 N Gilpin St # 1615-2,2,2,1.0,1.0,1220,1220,39.741849,-104.967521,1.6638434373323598,1795,1795,City Park West,City Park West,85.0,55.0,95.0,4854.0
81,1607 N Gilpin St # 1607-9,1,1,1.0,1.0,600,600,39.741849,-104.967521,1.6638434373323598,1000,1000,City Park West,City Park West,85.0,55.0,95.0,4854.0
82,901 Colorado Blvd,0,3,1.0,2.0,660,1528,39.73131,-104.94094,1.666183025569034,1442,1904,Capital Avenue,,,,,
83,1553 Steele St Apt 1,3,3,2.0,2.0,950,950,39.74121,-104.950443,1.6730035626844058,2300,2300,Colfax Avenue Park,,,,,
84,1570-1578 Humboldt St,0,1,1.0,1.0,291,588,39.74133,-104.96933,1.6789676048518758,1110,1695,City Park West,City Park West,85.0,55.0,95.0,4854.0
85,1301 N Ogden Number St Apt 6,2,2,1.0,1.0,1228,1228,39.737179,-104.975617,1.6797733625955171,2400,2400,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
86,1325 Garfield St,0,2,1.0,1.5,400,960,39.737231,-104.944294,1.6833368431810125,1135,1525,Capital Avenue,,,,,
87,60 N Corona St,0,2,1.0,1.0,450,800,39.71758,-104.974254,1.690317792240555,1125,1775,Speer,Speer,85.0,55.0,95.0,10957.0
88,636 N Pearl St Unit 302B,1,1,1.0,1.0,N/A,N/A,39.726372,-104.97963,1.693579575217837,1301,1301,Speer,Speer,85.0,55.0,95.0,10957.0
89,636 N Pearl St Unit 104B,1,1,1.0,1.0,N/A,N/A,39.726372,-104.97963,1.693579575217837,1255,1255,Speer,Speer,85.0,55.0,95.0,10957.0
90,1600 Fillmore St,1,3,1.0,2.0,591,1375,39.74238,-104.95301,1.6991797346716384,1495,2100,Colfax Avenue Park,,,,,
91,648 N Pearl St Unit 107A,1,1,1.0,1.0,N/A,N/A,39.726508,-104.979775,1.7042989935402557,1350,1350,Speer,Speer,85.0,55.0,95.0,10957.0
92,648 N Pearl St Unit 306A,1,1,1.0,1.0,N/A,N/A,39.726508,-104.979775,1.7042989935402557,1270,1270,Speer,Speer,85.0,55.0,95.0,10957.0
93,648 N Pearl St Unit 208A,1,1,1.0,1.0,N/A,N/A,39.726508,-104.979775,1.7042989935402557,1352,1352,Speer,Speer,85.0,55.0,95.0,10957.0
94,648 N Pearl St Unit 203A,1,1,1.0,1.0,N/A,N/A,39.726508,-104.979775,1.7042989935402557,1336,1336,Speer,Speer,85.0,55.0,95.0,10957.0
95,1580 Saint Paul St,1,1,1.0,1.0,950,950,39.741762,-104.950966,1.7062843243950765,1300,1300,Colfax Avenue Park,,,,,
96,1635 N Gilpin St,3,3,3.0,3.0,N/A,N/A,39.742277,-104.967564,1.7091986304881246,3900,3900,City Park West,City Park West,85.0,55.0,95.0,4854.0
97,77 S Adams St,1,2,1.0,2.0,758,1387,39.71511,-104.948942,1.7220028309950925,1450,1800,Cherry Creek,Cherry Creek,80.0,49.0,79.0,5583.0
98,1605 Saint Paul St Apt 6,1,1,1.0,1.0,N/A,N/A,39.742239,-104.951513,1.7338044121609588,1395,1395,Colfax Avenue Park,,,,,
99,633 N Pearl St,0,0,1.0,1.0,435,435,39.726237,-104.98025,1.7479858405381197,1015,1015,Speer,Speer,85.0,55.0,95.0,10957.0
100,1781 York St,0,2,1.0,2.0,500,1424,39.744,-104.96015,1.7721913929875157,1325,2521,City Park West,City Park West,85.0,55.0,95.0,4854.0
101,3498 E Ellsworth Ave,0,3,1.0,2.5,457,1811,39.71528,-104.94758,1.773221816729404,1330,4955,Cherry Creek,Cherry Creek,80.0,49.0,79.0,5583.0
102,1650 Fillmore St Apt 2106,2,2,1.0,1.0,N/A,N/A,39.743198,-104.952986,1.7853892357098977,3400,3400,The Pinnacle at City Park South,,,,,
103,65 N Ogden St Apt 203,1,1,1.0,1.0,N/A,N/A,39.717774,-104.97608,1.7927269072730565,1340,1340,Speer,Speer,85.0,55.0,95.0,10957.0
104,65 N Ogden St Apt 102,1,1,1.0,1.0,N/A,N/A,39.717774,-104.97608,1.7927269072730565,1330,1330,Speer,Speer,85.0,55.0,95.0,10957.0
105,611 E 11th Ave,1,2,1.0,1.0,711,854,39.733932,-104.979538,1.7975870330522175,1495,1630,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
106,59 N Ogden St Apt 8,1,1,1.0,1.0,N/A,N/A,39.717635,-104.97608,1.8026420069977187,1445,1445,Speer,Speer,85.0,55.0,95.0,10957.0
107,59 N Ogden St Apt 5,1,1,1.0,1.0,N/A,N/A,39.717635,-104.97608,1.8026420069977187,1425,1425,Speer,Speer,85.0,55.0,95.0,10957.0
108,59 N Ogden St Apt 7,1,1,1.0,1.0,N/A,N/A,39.717635,-104.97608,1.8026420069977187,1395,1395,Speer,Speer,85.0,55.0,95.0,10957.0
109,624 E 12th Ave,1,1,1.0,1.0,800,800,39.734965,-104.97918,1.8145830267770027,1575,1575,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
110,985 Albion St,0,3,1.0,3.0,476,1813,39.73212,-104.93939,1.8160891024887138,1330,4194,Hale,Hale,71.0,48.0,77.0,6942.0
111,1757 Vine St,2,2,1.0,1.0,742,742,39.744318,-104.962574,1.8213035241429387,1600,1600,City Park West,City Park West,85.0,55.0,95.0,4854.0
112,777 Ash St,1,2,1.0,1.0,618,917,39.728742,-104.938619,1.8268115304328354,1245,1570,Hale,Hale,71.0,48.0,77.0,6942.0
113,1225 Colorado Blvd,1,2,1.0,1.0,615,725,39.73571,-104.941042,1.8276163500023828,1099,1250,Capital Avenue,,,,,
114,1175 Albion St,1,1,1.0,1.0,567,837,39.73419,-104.93987,1.8482049341061149,1170,1425,Hale,Hale,71.0,48.0,77.0,6942.0
115,255 N Washington St,1,2,1.0,2.0,622,1087,39.720268,-104.979118,1.8547410577861667,1700,2775,Kettles,,,,,
116,1733 N Williams St Apt 12,0,0,1.0,1.0,N/A,N/A,39.744029,-104.966345,1.8575459371525438,1046,1046,City Park West,City Park West,85.0,55.0,95.0,4854.0
117,1733 N Williams St Apt 16,0,0,1.0,1.0,N/A,N/A,39.744029,-104.966345,1.8575459371525438,1046,1046,City Park West,City Park West,85.0,55.0,95.0,4854.0
118,1733 N Williams St Apt 23,0,0,1.0,1.0,N/A,N/A,39.744029,-104.966345,1.8575459371525438,1046,1046,City Park West,City Park West,85.0,55.0,95.0,4854.0
119,1733 N Williams St Apt B,0,0,1.0,1.0,N/A,N/A,39.744029,-104.966345,1.8575459371525438,974,974,City Park West,City Park West,85.0,55.0,95.0,4854.0
120,4205 E 10th Ave,0,2,1.0,2.0,519,1356,39.73139,-104.93865,1.859664736430091,1474,5610,Hale,Hale,71.0,48.0,77.0,6942.0
121,99 S Downing St,3,3,3.0,3.0,1758,1758,39.715041,-104.974001,1.8823956090210179,3350,3350,Speer,Speer,85.0,55.0,95.0,10957.0
122,1101 E Bayaud Ave,0,2,1.0,2.5,560,1796,39.715231,-104.974343,1.8851478973256066,1739,6679,Speer,Speer,85.0,55.0,95.0,10957.0
123,10 N Emerson St,1,2,1.0,2.0,675,990,39.716886,-104.976578,1.8892316222128163,1549,2096,Speer,Speer,85.0,55.0,95.0,10957.0
124,1250 Colorado Blvd,0,0,1.0,1.0,500,500,39.735786,-104.940252,1.891522076462523,995,995,Hale,Hale,71.0,48.0,77.0,6942.0
125,1660 Steele St,1,1,1.0,1.0,600,600,39.743123,-104.949669,1.8916681624179585,1500,1500,Colfax Avenue Park,,,,,
126,3740 E 1st Ave Unit C,2,2,2.0,2.0,N/A,N/A,39.717017,-104.943149,1.891671965246589,2800,2800,Burlington Capitol Hill,,,,,
127,2035 E 18th Ave Apt 5,2,2,1.0,1.0,800,800,39.745118,-104.962585,1.9097539928883136,1750,1750,City Park West,City Park West,85.0,55.0,95.0,4854.0
